Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (år)
Hopen;SN99720;1946;-5
Hopen;SN99720;1947;-5.6
Hopen;SN99720;1948;-7.2
Hopen;SN99720;1949;-5.1
Hopen;SN99720;1950;-3.4
Hopen;SN99720;1951;-7.1
Hopen;SN99720;1952;-5.5
Hopen;SN99720;1953;-4.2
Hopen;SN99720;1954;-2.9
Hopen;SN99720;1955;-5.8
Hopen;SN99720;1956;-3.4
Hopen;SN99720;1957;-3.9
Hopen;SN99720;1958;-5.3
Hopen;SN99720;1959;-5.4
Hopen;SN99720;1960;-5
Hopen;SN99720;1961;-6
Hopen;SN99720;1962;-8.1
Hopen;SN99720;1963;-9.4
Hopen;SN99720;1964;-5.1
Hopen;SN99720;1965;-6.5
Hopen;SN99720;1966;-7.8
Hopen;SN99720;1967;-6.8
Hopen;SN99720;1968;-10.6
Hopen;SN99720;1969;-6.4
Hopen;SN99720;1970;-6.7
Hopen;SN99720;1971;-7.9
Hopen;SN99720;1972;-3
Hopen;SN99720;1973;-5.7
Hopen;SN99720;1974;-2.9
Hopen;SN99720;1975;-7.1
Hopen;SN99720;1976;-4
Hopen;SN99720;1977;-6
Hopen;SN99720;1978;-7.7
Hopen;SN99720;1979;-7.5
Hopen;SN99720;1980;-6.9
Hopen;SN99720;1981;-7.1
Hopen;SN99720;1982;-6.9
Hopen;SN99720;1983;-6
Hopen;SN99720;1984;-3.2
Hopen;SN99720;1985;-5.3
Hopen;SN99720;1986;-6.2
Hopen;SN99720;1987;-7.2
Hopen;SN99720;1988;-8.9
Hopen;SN99720;1989;-6.2
Hopen;SN99720;1990;-3
Hopen;SN99720;1991;-4.3
Hopen;SN99720;1992;-4.8
Hopen;SN99720;1993;-6.1
Hopen;SN99720;1994;-5.3
Hopen;SN99720;1995;-6.1
Hopen;SN99720;1996;-5
Hopen;SN99720;1997;-6.2
Hopen;SN99720;1998;-6
Hopen;SN99720;1999;-3
Hopen;SN99720;2000;-3.3
Hopen;SN99720;2001;-4.4
Hopen;SN99720;2002;-4.5
Hopen;SN99720;2003;-6.5
Hopen;SN99720;2004;-4.2
Hopen;SN99720;2006;-1.3
Hopen;SN99720;2007;-2
Hopen;SN99720;2008;-3.7
Hopen;SN99720;2009;-3.2
Hopen;SN99720;2010;-3.4
Hopen;SN99720;2011;-3.4
Hopen;SN99720;2012;-1.1
Hopen;SN99720;2013;-2.8
Hopen;SN99720;2014;-2.3
Hopen;SN99720;2015;-2.4
Hopen;SN99720;2016;0.2
Hopen;SN99720;2017;-2.3
Hopen;SN99720;2018;-1.4
Hopen;SN99720;2019;-3.6
Hopen;SN99720;2020;-3.7
Hopen;SN99720;2021;-2.6
Hopen;SN99720;2022;-2.5
