materiale,Farlig avfall - alle avfallstyper,Oljeholdig avfall,Tungmetallholdig avfall og forurenset masse,Etsende avfall
1999,543,116,154,217
2000,611,131,169,259
2001,596,148,163,230
2002,602,171,196,129
2003,806,140,356,196
2004,898,199,396,230
2005,970,245,424,226
2006,1105,268,492,229
2007,1056,293,484,213
2008,1097,333,462,230
2009,1023,389,384,161
2010,1164,450,404,208
2011,1215,444,424,250
2012,1266,566,379,209
2013,1282,484,394,290
2014,1502,522,523,340
2015,1587,589,511,327
2016,1596,490,598,277
2017,1654,541,552,315
2018,1670,617,556,268
2019,1645,559,603,244
2020,1751,560,648,303
2021,1828,582,628,263
